# Wavelength (nm)	Intensity (a.u.)
197.7802	0.002118
197.9842	-0.000056
198.1882	0.000218
198.3922	0.000091
198.5963	0.001232
198.8003	0.000683
199.0044	-0.000204
199.2085	0.001738
199.4126	0.000028
199.6168	-0.000457
199.8209	0.001950
200.0251	-0.000415
200.2292	-0.000479
200.4334	-0.000521
200.6376	0.001379
200.8418	-0.001302
201.0461	-0.000816
201.2503	-0.000479
201.4546	0.000640
201.6589	-0.000605
201.8631	0.001232
202.0674	0.000873
202.2718	0.000999
202.4761	-0.000099
202.6805	0.000218
202.8848	-0.000901
203.0892	0.001295
203.2936	-0.000056
203.4980	0.000155
203.7024	-0.000943
203.9069	-0.000647
204.1113	0.000218
204.3158	0.001253
204.5203	-0.000120
204.7248	0.000408
204.9293	-0.000415
205.1338	-0.000035
205.3384	-0.000690
205.5430	0.000767
205.7475	0.000408
205.9521	0.000556
206.1567	0.000577
206.3614	-0.000014
206.5660	0.001358
206.7706	0.001401
206.9753	-0.001091
207.1800	-0.000647
207.3847	-0.000162
207.5894	-0.000985
207.7941	0.000134
207.9989	0.001401
208.2036	-0.000521
208.4084	-0.000289
208.6132	-0.000500
208.8180	0.001126
209.0228	-0.000310
209.2276	-0.000077
209.4325	0.000514
209.6373	0.001548
209.8422	0.000113
210.0471	0.000514
210.2520	0.000450
210.4569	0.000091
210.6618	-0.001028
210.8668	0.000155
211.0718	0.001591
211.2767	-0.000120
211.4817	-0.001534
211.6867	0.000746
211.8918	0.000113
212.0968	-0.000436
212.3018	-0.000183
212.5069	-0.000289
212.7120	0.000366
212.9171	0.000894
213.1222	-0.001598
213.3273	-0.000077
213.5325	0.000450
213.7376	-0.001070
213.9428	0.000091
214.1480	-0.000331
214.3532	-0.000077
214.5584	-0.000162
214.7636	0.000049
214.9689	0.000514
215.1741	0.001443
215.3794	0.000218
215.5847	-0.001112
215.7900	0.000429
215.9953	-0.000310
216.2007	0.001105
216.4060	0.000809
216.6114	0.001316
216.8168	-0.000669
217.0222	-0.000647
217.2276	0.000978
217.4330	0.000472
217.6384	-0.000120
217.8439	0.001802
218.0494	-0.001028
218.2548	0.000345
218.4603	0.000049
218.6659	0.000577
218.8714	-0.000479
219.0769	0.000155
219.2825	-0.000289
219.4881	-0.000014
219.6936	-0.000099
219.8992	-0.000479
220.1049	-0.001175
220.3105	-0.000647
220.5161	0.000978
220.7218	-0.001513
220.9275	-0.000415
221.1332	0.000894
221.3389	0.000387
221.5446	0.001485
221.7503	0.000472
221.9561	0.000999
222.1618	-0.000394
222.3676	-0.000141
222.5734	-0.000774
222.7792	0.000366
222.9850	-0.000141
223.1909	0.000493
223.3967	0.001042
223.6026	0.001971
223.8085	-0.002020
224.0144	-0.000162
224.2203	-0.000943
224.4262	0.000809
224.6322	-0.000626
224.8381	0.000662
225.0441	-0.000141
225.2501	0.000640
225.4561	-0.000690
225.6621	0.000070
225.8681	-0.000542
226.0742	0.000493
226.2802	0.000450
226.4863	0.000725
226.6924	0.000830
226.8985	0.001548
227.1046	-0.000289
227.3107	0.000028
227.5169	-0.001682
227.7230	0.000176
227.9292	-0.001112
228.1354	-0.001175
228.3416	-0.001576
228.5478	-0.000922
228.7541	-0.000373
228.9603	0.001759
229.1666	-0.000669
229.3729	0.000155
229.5791	0.000028
229.7855	0.000577
229.9918	-0.000204
230.1981	0.001105
230.4045	-0.000373
230.6108	-0.000310
230.8172	0.002224
231.0236	0.000598
231.2300	0.000725
231.4364	0.000155
231.6429	0.000746
231.8493	0.001084
232.0558	-0.000289
232.2623	0.000556
232.4688	0.000598
232.6753	-0.000120
232.8818	-0.002294
233.0884	0.000809
233.2949	0.000450
233.5015	0.000218
233.7081	0.000915
233.9147	0.001675
234.1213	-0.000795
234.3279	-0.000352
234.5346	-0.000120
234.7413	-0.000310
234.9479	-0.000056
235.1546	-0.000542
235.3613	-0.000225
235.5680	0.001422
235.7748	0.000028
235.9815	0.000049
236.1883	-0.000457
236.3951	0.000619
236.6018	0.000830
236.8087	-0.000225
237.0155	-0.000500
237.2223	-0.000352
237.4292	0.000091
237.6360	-0.000542
237.8429	0.000007
238.0498	-0.000816
238.2567	0.000704
238.4636	0.000450
238.6706	0.000218
238.8775	0.000239
239.0845	-0.000479
239.2915	0.000260
239.4985	0.000134
239.7055	-0.000816
239.9125	0.000070
240.1195	0.000788
240.3266	0.000007
240.5337	-0.000246
240.7407	-0.000099
240.9478	-0.000331
241.1549	-0.001006
241.3621	-0.000711
241.5692	0.000091
241.7764	0.001548
241.9835	-0.000943
242.1907	0.000429
242.3979	-0.000964
242.6051	-0.000331
242.8124	0.001633
243.0196	0.001443
243.2269	0.000472
243.4341	-0.000457
243.6414	-0.000859
243.8487	0.000429
244.0560	0.000662
244.2634	-0.000141
244.4707	-0.000394
244.6781	0.000472
244.8854	-0.000521
245.0928	-0.000162
245.3002	0.000387
245.5076	0.001295
245.7151	0.000535
245.9225	-0.000289
246.1300	0.000957
246.3375	-0.000901
246.5449	0.000598
246.7524	0.000830
246.9600	-0.000331
247.1675	0.000577
247.3750	0.001358
247.5826	0.000197
247.7902	-0.001112
247.9978	0.000999
248.2054	-0.000859
248.4130	-0.000373
248.6206	-0.000690
248.8283	-0.000204
249.0359	0.000070
249.2436	-0.001260
249.4513	0.000704
249.6590	0.000767
249.8667	0.000366
250.0745	0.000197
250.2822	-0.001344
250.4900	0.000218
250.6978	-0.000711
250.9056	0.001907
251.1134	-0.001260
251.3212	0.000493
251.5290	0.000429
251.7369	-0.000373
251.9447	-0.000563
252.1526	0.000197
252.3605	0.000218
252.5684	-0.000436
252.7763	-0.000394
252.9843	0.000028
253.1922	0.000049
253.4002	-0.000457
253.6082	0.000999
253.8162	-0.000901
254.0242	0.000704
254.2322	0.001211
254.4402	0.000155
254.6483	0.000134
254.8564	0.000640
255.0644	-0.000394
255.2725	-0.001028
255.4806	-0.000077
255.6888	0.000239
255.8969	0.000239
256.1051	-0.000289
256.3132	0.000640
256.5214	-0.000711
256.7296	-0.000120
256.9378	0.000239
257.1460	-0.000922
257.3543	-0.000479
257.5625	0.000408
257.7708	-0.001239
257.9791	0.000472
258.1874	-0.000056
258.3957	0.000514
258.6040	-0.000035
258.8124	-0.001281
259.0207	0.000662
259.2291	0.000746
259.4375	0.000493
259.6459	0.000725
259.8543	0.000662
260.0627	0.000640
260.2711	-0.001028
260.4796	-0.000310
260.6881	0.000978
260.8965	0.000809
261.1050	0.000429
261.3135	0.000091
261.5221	-0.001365
261.7306	0.000493
261.9392	0.000493
262.1477	0.001569
262.3563	0.000598
262.5649	0.000007
262.7735	0.000894
262.9822	0.000915
263.1908	-0.000521
263.3995	-0.000943
263.6081	-0.000669
263.8168	0.000218
264.0255	0.000345
264.2342	0.001042
264.4429	-0.000394
264.6517	-0.000056
264.8604	0.000619
265.0692	0.000450
265.2780	-0.000225
265.4868	0.000387
265.6956	-0.000056
265.9044	0.000113
266.1133	0.000134
266.3221	0.000113
266.5310	-0.000457
266.7399	0.000894
266.9488	0.000218
267.1577	0.002076
267.3666	0.000239
267.5755	0.000514
267.7845	-0.000500
