# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000899
197.9842	-0.002463
198.1882	-0.001173
198.3922	0.000243
198.5963	-0.000962
198.8003	-0.000180
199.0044	0.000159
199.2085	-0.000391
199.4126	-0.000412
199.6168	-0.000433
199.8209	0.002061
200.0251	0.000243
200.2292	0.000264
200.4334	-0.001512
200.6376	0.000116
200.8418	0.000074
201.0461	0.002949
201.2503	-0.001237
201.4546	0.001512
201.6589	-0.001406
201.8631	0.002992
202.0674	-0.001258
202.2718	0.001343
202.4761	0.000328
202.6805	0.000793
202.8848	0.000116
203.0892	-0.001956
203.2936	0.001110
203.4980	-0.001702
203.7024	-0.000391
203.9069	0.002019
204.1113	-0.000053
204.3158	-0.000074
204.5203	0.000264
204.7248	-0.000264
204.9293	-0.000877
205.1338	0.001427
205.3384	-0.000624
205.5430	0.001173
205.7475	-0.001406
205.9521	-0.000518
206.1567	0.001808
206.3614	0.000011
206.5660	0.000539
206.7706	0.001195
206.9753	0.000814
207.1800	-0.001364
207.3847	0.000560
207.5894	-0.001216
207.7941	0.001152
207.9989	0.001195
208.2036	-0.000243
208.4084	-0.000243
208.6132	-0.000772
208.8180	0.000159
209.0228	0.000264
209.2276	0.001025
209.4325	-0.000243
209.6373	-0.000095
209.8422	-0.000349
210.0471	0.001025
210.2520	-0.000074
210.4569	0.000180
210.6618	0.001089
210.8668	-0.001681
211.0718	0.000328
211.2767	0.001068
211.4817	-0.000581
211.6867	0.000581
211.8918	-0.000856
212.0968	0.001047
212.3018	0.000201
212.5069	0.000814
212.7120	0.000983
212.9171	-0.000729
213.1222	0.001554
213.3273	-0.000539
213.5325	0.000074
213.7376	-0.002125
213.9428	0.000666
214.1480	0.000328
214.3532	-0.001660
214.5584	0.000856
214.7636	-0.001004
214.9689	0.000687
215.1741	-0.001131
215.3794	-0.000180
215.5847	0.000285
215.7900	-0.000899
215.9953	-0.000328
216.2007	0.000222
216.4060	-0.000899
216.6114	0.001237
216.8168	-0.000666
217.0222	-0.000222
217.2276	-0.000011
217.4330	0.000560
217.6384	0.000370
217.8439	0.002442
218.0494	0.000666
218.2548	0.001787
218.4603	-0.000476
218.6659	0.000603
218.8714	0.001406
219.0769	0.000793
219.2825	-0.000518
219.4881	0.000666
219.6936	-0.000539
219.8992	0.001110
220.1049	-0.002188
220.3105	0.000053
220.5161	-0.000581
220.7218	0.000370
220.9275	-0.001258
221.1332	0.000032
221.3389	0.000539
221.5446	-0.000032
221.7503	-0.000074
221.9561	0.001004
222.1618	-0.000687
222.3676	0.000243
222.5734	-0.001025
222.7792	-0.000560
222.9850	0.002209
223.1909	0.001216
223.3967	0.000074
223.6026	-0.000497
223.8085	-0.000920
224.0144	-0.000053
224.2203	0.000412
224.4262	0.000560
224.6322	-0.000328
224.8381	-0.000032
225.0441	0.001512
225.2501	-0.000159
225.4561	-0.000370
225.6621	0.000645
225.8681	-0.001850
226.0742	0.000920
226.2802	-0.001977
226.4863	0.000645
226.6924	-0.000433
226.8985	0.001131
227.1046	-0.000095
227.3107	-0.000877
227.5169	-0.000729
227.7230	0.000264
227.9292	-0.000307
228.1354	0.002019
228.3416	0.000285
228.5478	0.000751
228.7541	0.001385
228.9603	0.000539
229.1666	-0.001089
229.3729	0.000666
229.5791	-0.001892
229.7855	-0.002209
229.9918	-0.000624
230.1981	-0.000328
230.4045	0.001575
230.6108	0.000666
230.8172	-0.000391
231.0236	-0.000539
231.2300	-0.000687
231.4364	-0.001469
231.6429	0.000814
231.8493	0.000666
232.0558	-0.001956
232.2623	0.001321
232.4688	-0.000751
232.6753	0.000307
232.8818	0.000603
233.0884	-0.000159
233.2949	0.000899
233.5015	-0.000476
233.7081	-0.000962
233.9147	0.000624
234.1213	0.000560
234.3279	0.001850
234.5346	-0.001406
234.7413	-0.000074
234.9479	-0.000624
235.1546	-0.000497
235.3613	0.000497
235.5680	0.000835
235.7748	0.001660
235.9815	0.000983
236.1883	0.000835
236.3951	0.002019
236.6018	0.000349
236.8087	0.001343
237.0155	0.001300
237.2223	-0.000856
237.4292	0.000687
237.6360	0.000243
237.8429	0.000074
238.0498	0.000159
238.2567	0.000307
238.4636	0.000941
238.6706	-0.000285
238.8775	0.001131
239.0845	-0.000053
239.2915	0.000285
239.4985	-0.001596
239.7055	0.000116
239.9125	-0.000497
240.1195	0.000751
240.3266	-0.001321
240.5337	0.000180
240.7407	-0.000899
240.9478	0.001131
241.1549	0.000518
241.3621	0.000497
241.5692	0.000201
241.7764	-0.000053
241.9835	-0.000412
242.1907	-0.000581
242.3979	-0.000856
242.6051	0.001047
242.8124	0.000264
243.0196	0.000137
243.2269	-0.000412
243.4341	-0.000687
243.6414	-0.000581
243.8487	0.001998
244.0560	0.000518
244.2634	0.001427
244.4707	0.000856
244.6781	0.000032
244.8854	0.000180
245.0928	-0.001068
245.3002	-0.000920
245.5076	-0.001765
245.7151	0.000433
245.9225	-0.000053
246.1300	-0.001448
246.3375	0.001744
246.5449	-0.001533
246.7524	-0.000053
246.9600	-0.000180
247.1675	0.000751
247.3750	0.000539
247.5826	0.001533
247.7902	-0.001469
247.9978	0.001343
248.2054	0.000032
248.4130	-0.001004
248.6206	-0.001343
248.8283	-0.000137
249.0359	0.001364
249.2436	0.001533
249.4513	-0.000856
249.6590	-0.000751
249.8667	-0.000180
250.0745	-0.000920
250.2822	-0.000645
250.4900	-0.000243
250.6978	0.000137
250.9056	0.000708
251.1134	-0.000159
251.3212	0.000729
251.5290	0.000941
251.7369	0.000814
251.9447	0.000011
252.1526	0.000899
252.3605	-0.000053
252.5684	-0.000201
252.7763	-0.000666
252.9843	0.000391
253.1922	0.000116
253.4002	-0.000307
253.6082	-0.001977
253.8162	-0.001258
254.0242	-0.000645
254.2322	0.001998
254.4402	0.000751
254.6483	0.000729
254.8564	-0.000518
255.0644	0.000201
255.2725	0.000011
255.4806	-0.001110
255.6888	-0.000518
255.8969	0.000793
256.1051	-0.000518
256.3132	0.000011
256.5214	0.001279
256.7296	-0.000856
256.9378	-0.000560
257.1460	0.000877
257.3543	-0.000772
257.5625	-0.000011
257.7708	-0.001004
257.9791	-0.000751
258.1874	0.000666
258.3957	0.000116
258.6040	-0.001089
258.8124	0.000328
259.0207	0.001047
259.2291	-0.000433
259.4375	-0.001152
259.6459	0.000285
259.8543	-0.000137
260.0627	-0.000285
260.2711	-0.000835
260.4796	0.000370
260.6881	0.000307
260.8965	0.000285
261.1050	0.000433
261.3135	-0.000476
261.5221	-0.000243
261.7306	0.001469
261.9392	-0.000624
262.1477	0.001364
262.3563	0.001025
262.5649	-0.001533
262.7735	0.001829
262.9822	0.000412
263.1908	0.000497
263.3995	0.000751
263.6081	-0.001829
263.8168	-0.000307
264.0255	0.000053
264.2342	-0.000011
264.4429	-0.000412
264.6517	0.000222
264.8604	0.000074
265.0692	0.001681
265.2780	-0.000560
265.4868	0.000497
265.6956	0.000095
265.9044	0.002315
266.1133	0.000222
266.3221	0.000137
266.5310	-0.000264
266.7399	0.000116
266.9488	0.000645
267.1577	-0.000624
267.3666	-0.000560
267.5755	-0.000560
267.7845	0.000011
267.9935	0.000877
268.2024	0.000370
268.4114	0.001047
268.6205	0.001004
268.8295	0.001343
269.0385	-0.000772
269.2476	0.000328
269.4566	0.001448
269.6657	-0.000222
269.8748	-0.000476
270.0839	0.001216
270.2931	0.001173
270.5022	-0.000391
270.7114	-0.001639
270.9205	-0.000856
271.1297	-0.000560
271.3389	0.001131
271.5481	-0.000751
271.7573	-0.000603
271.9666	0.000159
272.1758	-0.000560
272.3851	-0.001702
272.5944	0.000518
272.8037	0.000835
273.0130	-0.001427
273.2223	-0.000751
273.4316	0.000032
273.6410	0.001469
273.8504	0.001406
274.0597	-0.000729
274.2691	-0.000666
274.4785	-0.000476
274.6880	-0.001110
274.8974	-0.000751
275.1069	0.000137
275.3163	-0.000180
275.5258	-0.000560
275.7353	-0.000941
275.9448	0.001025
276.1543	-0.000624
276.3639	-0.000497
276.5734	0.001343
276.7830	0.001258
276.9926	-0.000116
277.2022	0.000455
277.4118	-0.000814
277.6214	-0.000729
277.8310	-0.003267
278.0407	-0.000307
278.2503	-0.000328
278.4600	0.000412
278.6697	0.000708
278.8794	-0.000349
279.0891	0.000180
279.2989	0.001089
279.5086	-0.001702
279.7184	0.000285
279.9281	-0.000624
280.1379	0.000497
280.3477	-0.002231
280.5576	0.000433
280.7674	-0.000518
280.9772	0.000370
281.1871	-0.001660
281.3970	0.001575
281.6069	0.001512
281.8168	0.001025
282.0267	0.000053
282.2366	-0.000624
282.4466	-0.000962
282.6565	-0.000455
282.8665	-0.001427
283.0765	-0.000476
283.2865	-0.000011
283.4965	-0.000708
283.7065	-0.000645
283.9166	0.000772
284.1266	-0.000581
284.3367	0.000222
284.5468	-0.001617
284.7569	-0.001575
284.9670	-0.001364
285.1771	0.000391
285.3873	-0.000159
285.5974	0.001300
285.8076	0.001660
286.0178	0.000370
286.2280	0.001617
286.4382	0.000687
286.6484	-0.000307
286.8587	0.001385
287.0689	0.000116
287.2792	0.000772
287.4895	-0.001068
287.6998	0.000856
287.9101	0.001512
288.1204	0.001935
288.3308	-0.001258
288.5411	0.000687
288.7515	-0.000941
288.9619	0.000116
289.1723	-0.001152
289.3827	0.000349
289.5931	0.000687
289.8035	-0.001364
290.0140	-0.001279
290.2245	0.000751
290.4349	-0.000349
290.6454	0.000603
290.8559	-0.001173
291.0665	0.000011
291.2770	-0.001279
291.4875	0.001216
291.6981	-0.000328
291.9087	0.001216
292.1193	-0.001575
292.3299	-0.000307
292.5405	-0.001025
292.7511	-0.000920
292.9618	0.001279
293.1724	0.001892
293.3831	0.001512
293.5938	-0.000877
293.8045	-0.000180
294.0152	-0.000095
294.2260	0.000772
294.4367	-0.000624
294.6475	-0.001237
294.8582	0.000053
295.0690	-0.000772
295.2798	-0.000349
295.4906	0.000412
295.7015	0.000328
295.9123	-0.000032
296.1232	0.000159
296.3340	0.000687
296.5449	0.000687
296.7558	-0.000856
296.9667	0.000011
297.1777	0.000328
297.3886	0.000264
297.5995	0.000814
297.8105	0.000180
298.0215	0.001300
298.2325	-0.000116
298.4435	-0.000307
298.6545	0.000476
298.8656	-0.000920
299.0766	-0.001025
299.2877	-0.000137
299.4988	0.000264
299.7099	-0.000243
299.9210	0.001047
300.1321	0.001935
300.3432	0.002357
300.5544	0.000772
300.7655	-0.000137
300.9767	0.000391
301.1879	0.000581
301.3991	-0.001300
301.6103	-0.000180
301.8215	-0.001977
302.0328	0.000835
302.2441	-0.000159
302.4553	0.001512
302.6666	-0.000307
302.8779	-0.000222
303.0892	-0.000962
303.3006	0.000433
303.5119	0.000243
303.7233	0.000899
303.9346	0.001110
304.1460	-0.000201
304.3574	0.000222
304.5688	0.000497
304.7803	-0.001871
304.9917	0.000328
305.2031	-0.001639
305.4146	-0.000222
305.6261	0.001723
305.8376	0.001237
306.0491	0.000222
306.2606	0.000011
306.4722	-0.000877
306.6837	0.000328
306.8953	-0.000856
307.1069	-0.000285
307.3184	0.000518
307.5301	-0.001195
307.7417	-0.000835
307.9533	0.000645
308.1650	-0.000159
308.3766	0.001702
308.5883	0.000264
308.8000	0.003267
309.0117	0.001639
309.2234	-0.000137
309.4351	-0.000053
309.6469	-0.000772
309.8586	0.000137
310.0704	0.000095
310.2822	0.000222
310.4940	0.001364
310.7058	-0.000539
310.9176	0.000476
311.1295	0.000201
311.3413	0.000856
311.5532	0.000539
311.7651	0.001025
311.9770	0.001512
312.1889	0.000433
312.4008	-0.000137
312.6127	0.000920
312.8247	-0.000666
313.0366	0.000962
313.2486	-0.000518
313.4606	0.001343
313.6726	0.000095
313.8846	0.000180
314.0967	-0.001068
314.3087	0.000011
314.5208	0.001744
314.7328	0.000476
314.9449	0.000011
315.1570	0.000983
315.3692	0.000159
315.5813	0.000645
315.7934	-0.000264
316.0056	0.000814
316.2177	-0.000264
316.4299	-0.000455
316.6421	-0.000328
316.8543	-0.000433
317.0666	-0.001216
317.2788	0.000159
317.4911	-0.000349
317.7033	0.000349
317.9156	0.000201
318.1279	0.000899
318.3402	-0.000624
318.5525	-0.000180
318.7649	-0.000941
318.9772	-0.000962
319.1896	-0.000962
319.4019	-0.000391
319.6143	0.000603
319.8267	0.001427
320.0392	-0.000560
320.2516	-0.001681
320.4640	-0.001448
320.6765	0.000095
320.8890	-0.000581
321.1014	0.000053
321.3139	-0.000962
321.5265	0.003393
321.7390	0.000941
321.9515	0.000222
322.1641	-0.000518
322.3766	0.000285
322.5892	0.000328
322.8018	0.000899
323.0144	0.000687
323.2270	0.000476
323.4397	-0.002019
323.6523	0.000349
323.8650	0.001258
324.0777	0.000687
324.2904	0.000581
324.5031	0.000307
324.7158	-0.001004
324.9285	0.000581
325.1412	-0.000835
325.3540	0.000328
325.5668	0.000053
325.7796	0.000581
325.9924	0.000074
326.2052	-0.000983
326.4180	-0.001004
326.6308	0.000920
326.8437	-0.000899
327.0566	-0.000074
327.2694	0.000349
327.4823	-0.000137
327.6952	-0.000433
327.9082	0.000201
328.1211	0.000201
328.3340	-0.000793
328.5470	-0.000877
328.7600	-0.001406
328.9730	-0.000518
329.1860	0.000349
329.3990	-0.000180
329.6120	0.000222
329.8251	0.000032
330.0381	0.001512
330.2512	-0.000285
330.4643	0.000180
330.6774	0.001427
330.8905	0.000095
331.1036	0.000264
331.3167	-0.000814
331.5299	0.000941
331.7431	0.001300
331.9562	-0.000328
332.1694	0.000095
332.3826	-0.001364
332.5959	-0.001047
332.8091	-0.000243
333.0223	-0.000243
333.2356	0.000222
333.4489	-0.000666
333.6622	-0.000116
333.8755	0.000645
334.0888	-0.000307
334.3021	0.000095
334.5154	0.000412
