# Wavelength (nm)	Intensity (a.u.)
197.7802	-0.000334
197.9842	0.000678
198.1882	0.002070
198.3922	0.000510
198.5963	-0.000292
198.8003	0.000404
199.0044	0.000552
199.2085	0.001332
199.4126	0.001416
199.6168	0.000868
199.8209	0.001817
200.0251	-0.000292
200.2292	0.001648
200.4334	-0.000460
200.6376	-0.001219
200.8418	-0.000081
201.0461	-0.000671
201.2503	0.001374
201.4546	0.001943
201.6589	0.001922
201.8631	0.001479
202.0674	-0.000418
202.2718	0.001142
202.4761	0.000467
202.6805	0.000404
202.8848	0.001079
203.0892	0.000025
203.2936	0.000193
203.4980	0.000320
203.7024	0.000952
203.9069	0.000425
204.1113	-0.000060
204.3158	0.001501
204.5203	0.001711
204.7248	-0.000123
204.9293	0.000320
205.1338	0.000362
205.3384	0.000193
205.5430	0.001311
205.7475	0.001627
205.9521	0.001479
206.1567	0.000763
206.3614	0.000573
206.5660	0.001037
206.7706	-0.000018
206.9753	0.001353
207.1800	0.000826
207.3847	0.000320
207.5894	0.000763
207.7941	-0.000418
207.9989	0.001332
208.2036	-0.000039
208.4084	0.001100
208.6132	0.000784
208.8180	-0.000081
209.0228	0.000910
209.2276	0.001606
209.4325	0.000109
209.6373	0.001374
209.8422	0.000805
210.0471	0.001733
210.2520	0.000742
210.4569	0.000973
210.6618	0.000995
210.8668	0.000720
211.0718	0.000868
211.2767	0.002724
211.4817	0.000383
211.6867	0.001269
211.8918	0.000973
212.0968	0.001142
212.3018	-0.000102
212.5069	0.002492
212.7120	-0.000671
212.9171	0.001205
213.1222	0.000636
213.3273	0.000763
213.5325	0.000067
213.7376	0.001901
213.9428	-0.000186
214.1480	0.001353
214.3532	-0.000018
214.5584	0.001479
214.7636	0.001922
214.9689	0.001648
215.1741	0.001079
215.3794	-0.000861
215.5847	-0.000165
215.7900	0.001458
215.9953	0.001037
216.2007	0.001311
216.4060	0.001669
216.6114	0.001479
216.8168	0.000868
217.0222	0.000763
217.2276	0.000404
217.4330	0.000446
217.6384	0.001248
217.8439	0.001964
218.0494	-0.000418
218.2548	0.001332
218.4603	-0.000734
218.6659	0.001711
218.8714	0.001606
219.0769	0.000446
219.2825	0.001079
219.4881	0.000046
219.6936	0.001311
219.8992	0.000636
220.1049	0.000615
220.3105	0.001079
220.5161	-0.000545
220.7218	0.000931
220.9275	0.001416
221.1332	0.000742
221.3389	0.000004
221.5446	0.000552
221.7503	0.000193
221.9561	0.001522
